回数,タイトル,著者
37,みどりいせき,大田ステファニー歓人
36,植物少女,朝比奈秋
35,ブロッコリー・レボリューション,岡田利規
34,旅する練習,乗代雄介
33,かか,宇佐見りん
32,いかれころ,三国美千子
31,無限の玄,古谷田奈月
30,カブールの園,宮内悠介
29,伯爵夫人,蓮實重彦
28,私の恋人,上田岳弘
27,自分を好きになる方法,本谷有希子
26,しろいろの街の、その骨の体温の,村田沙耶香
25,私のいない高校,青木淳悟
24,こちらあみ子,今村夏子
23,クォンタム・ファミリーズ,東浩紀
22,夏の水の半魚人,前田司郎
21,切れた鎖,田中慎弥
20,1000の小説とバックベアード,佐藤友哉
19,LOVE,古川日出男
18,六〇〇〇度の愛,鹿島田真希
17,ららら科學の子,矢作俊彦
16,阿修羅ガール,舞城王太郎
15,にぎやかな湾に背負われた船,小野正嗣
14,ユリイカ EUREKA,青山真治
14,あらゆる場所に花束が……,中原昌也
13,目覚めよと人魚は歌う,星野智幸
12,ロックンロールミシン,鈴木清剛
12,おぱらばん,堀江敏幸
11,カブキの日,小林恭二
10,三絃の誘惑―近代日本精神史覚え書―,樋口覚
9,折口信夫論,松浦寿輝
8,緑色の濁ったお茶あるいは幸福の散歩道,山本昌代
7,二百回忌,笙野頼子
6,鹽壺の匙,車谷長吉
6,日本の家郷,福田和也
5,該当作品なし,
4,ア・ルース・ボーイ,佐伯一麦
3,世紀末鯨鯢記,久間十義
2,黄昏のストーム・シーディング,大岡玲
1,優雅で感傷的な日本野球,高橋源一郎
